Gene	Expr0
Ddx51	8.06783
Ddx55	6.56131
Ddx58	7.45911
Ddx59	7.27862
Deaf1	7.34226
Decr2	7.16033
Dedd	7.35623
Def8	7.84066
Defcr-rs10	7.35531
Defcr-rs12	6.80173
Dennd1a	6.6107
Dennd2a	7.30152
Depdc1b	8.24176
Depdc6	7.2893
Dera	8.3038
Derl1	7.77509
Derl2	8.27483
Derl3	6.96773
Des	6.5961
Det1	6.6771
Dexi	6.5478
Dffa	7.23341
Dgat2	6.73848
Dgcr2	7.90569
Dgcr6	6.94335
Dgcr8	8.17334
Dgkh	6.86844
Dguok	8.26345
Dhcr24	8.48028
Dhodh	8.04323
Dhps	8.57672
Dhrs13	7.51136
Dhrs4	7.82429
Dhtkd1	7.75027
Dhx29	8.22877
Dhx33	7.60986
Dhx34	6.87455
Dhx35	7.77155
Dhx8	9.00921
Diablo	8.58291
Dido1	7.67094
Dimt1	8.91318
Dip2c	7.35437
Dlc1	8.5441
Dld	8.45349
Dlgap3	7.58828
Dmap1	8.55746
Dmrt1	7.08738
Dmwd	8.26905
Dna2l	7.98513
Dnajb10	6.56759
Dnajb12	7.34029
Dnajb5	6.65558
Dnajb9	9.04431
Dnajc1	6.53041
Dnajc11	7.8401
Dnajc12	7.1909
Dnajc14	7.86221
Dnajc18	6.59348
Dnajc19	9.18207
Dnajc3a	8.06501
Dnajc4	7.94533
Dnajc5	8.59201
Dnalc1	6.5281
Dnalc4	6.87362
Dnm2	7.65602
Dnmbp	7.81214
Dnmt3a	8.97308
Dock1	7.37265
Dock5	6.92836
Dock6	7.90356
Dok2	6.66305
Dolk	7.62122
Dom3z	7.62459
Dot1l	7.88413
Dpagt1	7.64259
Dph1	8.09801
Dph5	8.5118
Dpp9	8.37139
Dppa3	7.92243
Dpys	7.94237
Drctnnb1a	7.76537
Dse	8.12196
Dsel	7.35016
Dtnbp1	7.44712
Dtwd1	8.57506
Dtx2	7.24751
Dtx3	8.09311
Dus2l	6.75254
Dusp12	7.79132
Dusp16	7.69304
Dusp19	6.80835
Dusp27	8.09449
Dusp28	6.60185
Dusp4	6.74027
Dusp5	7.51961
Dvl2	7.61942
Dym	7.58541
Dync2h1	6.48822
Dync2li1	8.15384
Dyrk1a	7.7758
Dyrk1b	7.12797
Dyrk2	7.22818
E030041M21Rik	8.01792
E130014J05Rik	9.07005
E130308A19Rik	6.89745
E130311K13Rik	6.85796
E2f1	7.94931
E2f3	7.80081
E2f4	8.28536
