Gene	Expr0
Stch	7.44186
Stc2	7.12291
Stau2	6.10576
Stau1	8.00991
Stat5b	6.0082
Stat5a	5.71721
Stat4	6.59831
Stat3	8.33998
Stat2	5.74825
Stat1	6.25671
Stard8	7.18239
Stard4	7.61869
Stard3	7.49646
Stard10	7.46613
Stambpl1	6.24186
Stambp	6.43655
Stam2	7.02744
Stam	7.60483
Stac2	6.18428
St8sia1	6.2175
St7l	6.37307
St6galnac6	7.32742
St6galnac4	6.24296
St6gal1	6.11654
St5	7.50362
St3gal5	6.65714
St3gal4	6.16259
St3gal3	7.17712
St3gal2	6.36135
St14	7.93134
Ssx2ip	7.11515
Sst	5.7864
Ssr4	7.73496
Ssh2	7.01047
Ssh1	6.57669
Ssfa2	7.67035
Ssbp3	7.41863
Ss18l1	6.17489
Srxn1	7.21132
Srprb	7.5767
Srpk2	8.13619
Srms	5.73882
Srl	6.36344
Sri	8.13649
Srgap3	5.75547
Srgap2	7.40326
Srf	7.81987
Srebf2	8.47351
Srd5a1	5.97024
Src	7.08706
Sqrdl	5.94664
Sptlc2	8.14099
Spsb3	8.02574
Spsb2	7.16224
Spsb1	6.49944
Spryd4	8.43372
Spryd3	7.25279
Spry4	8.02855
Sprr2k	5.96101
Spred2	8.45229
Spred1	7.87448
Spock2	6.28822
Spns3	6.23677
Spns1	8.44234
Spnb4	7.41425
Spnb3	6.32878
Spnb1	5.80196
Spire2	6.98274
Spire1	6.4218
Spink3	7.31112
Spin4	6.54168
Spin2	6.70834
Sphk2	6.34829
Spg7	7.46148
Spg20	7.97409
Spesp1	7.48421
Spen	8.15964
Specc1l	7.33777
Specc1	6.07286
Spats1	6.84637
Spata7	6.18947
Spata6	6.43792
Spata5	8.40139
Spata2	7.06226
Spast	8.26496
Spag9	7.51691
Spag5	7.74017
Spag4	6.26303
Spa17	5.78112
Sp2	8.21148
Sp110$LOC100040974	6.93035
Sox4	7.81159
Sox3	6.83613
Sox21	7.92326
Sox15	7.15471
Sox13	7.62442
Sox12	7.87381
Sox11	6.35654
Sost	7.76219
Sos1	7.10386
Sort1	6.8509
Sorbs3	7.03426
Sorbs1	6.25592
Solh	6.8896
Socs7	7.35975
Socs6	7.50034
Socs5	7.22232
Socs4	7.13898
Soat1	7.35476
Snx8	7.7828
Snx7	7.51467
Snx30	7.04583
Snx27	8.08772
Snx25	7.42374
Snx24	7.76232
Snx19	6.52605
Snx16	8.09756
Snx15	7.27206
Snx14	7.6457
Snx13	7.77193
Snx11	7.07599
Snx1	8.10955
Snupn	7.93656
Sntb2	7.53428
Snta1	7.84636
Snrk	6.95945
Snn	6.40768
Snf1lk2	6.36569
Snf1lk	5.80467
Sned1	6.84568
Sncg	5.72842
Sncb	6.53722
Snapc4	6.92812
Snapc2	7.61564
Snapc1	8.22167
Snap91	7.08231
Snap29	6.84575
Snap23	8.09176
Snai3	5.9286
Snai2	5.81807
Snai1	5.91457
Smyd5	7.60864
Smyd4	7.27661
Smyd3	6.94466
Smurf1	7.12689
Smug1	7.39927
Smtn	6.66077
Smpdl3b	7.33777
Smpd4	7.93777
Smpd2	8.03898
Smpd1	7.38939
Smox	6.76281
Smoc1	7.72397
Smo	7.01154
Smg6	6.06955
Smg5	8.24881
Smek1	7.70607
Smcr8	6.50186
Smcr7l	8.49014
Smcr7	6.68153
Smc6	8.43099
Smc1b	7.81475
Smarcd3	6.64249
Smarcd1	8.01094
Smarcc2	6.41392
Smarcal1	7.39756
Smarca1	7.06189
Smap1l	7.65106
Smad6	7.29386
Smad3	6.85611
Smad1	8.01811
Slurp1	6.18041
Slu7	7.7879
Sltm	8.30998
Slpi	6.58481
Slmo2	8.45287
Slmo1	5.85926
Slk	7.41521
Slit3	5.92202
Slit2	6.00837
Slfn2	5.84247
Slco4a1	6.82269
Slco2b1	6.8638
Slco1a4	5.70379
Slc9a6	7.77405
